DTNHM4988-22.COI-5P	k__Animalia; p__Chordata; c__Aplacophora; o__Not assigned; f__Chaetodermidae; g__Chaetoderma; s__nitidulum
1780533733	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
1780533737	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
312227627	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
312227635	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
312227641	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
322512732	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
322512741	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
322512758	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
409032982	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
CCMAS007-21.COI-5P	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
CCMAS011-21.COI-5P	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
NIBA076-23.COI-5P	k__Animalia; p__Chordata; c__Ascidiacea; o__Phlebobranchia; f__Cionidae; g__Ciona; s__intestinalis
1035661933	k__Animalia; p__Chordata; c__Ascidiacea; o__Stolidobranchia; f__Molgulidae; g__Molgula; s__manhattensis
1035662205	k__Animalia; p__Chordata; c__Ascidiacea; o__Stolidobranchia; f__Molgulidae; g__Molgula; s__manhattensis
2099772537	k__Animalia; p__Chordata; c__Ascidiacea; o__Stolidobranchia; f__Molgulidae; g__Molgula; s__manhattensis
2318608365	k__Animalia; p__Chordata; c__Ascidiacea; o__Stolidobranchia; f__Molgulidae; g__Molgula; s__manhattensis
2318608395	k__Animalia; p__Chordata; c__Ascidiacea; o__Stolidobranchia; f__Molgulidae; g__Molgula; s__manhattensis
2318608397	k__Animalia; p__Chordata; c__Ascidiacea; o__Stolidobranchia; f__Molgulidae; g__Molgula; s__manhattensis
2318608399	k__Animalia; p__Chordata; c__Ascidiacea; o__Stolidobranchia; f__Molgulidae; g__Molgula; s__manhattensis
2318608401	k__Animalia; p__Chordata; c__Ascidiacea; o__Stolidobranchia; f__Molgulidae; g__Molgula; s__manhattensis
2318608459	k__Animalia; p__Chordata; c__Ascidiacea; o__Stolidobranchia; f__Molgulidae; g__Molgula; s__manhattensis
2898684640	k__Animalia; p__Chordata; c__Ascidiacea; o__Stolidobranchia; f__Molgulidae; g__Molgula; s__manhattensis
386289863	k__Animalia; p__Chordata; c__Ascidiacea; o__Stolidobranchia; f__Molgulidae; g__Molgula; s__manhattensis
220063575	k__Animalia; p__Chordata; c__Ascidiacea; o__Stolidobranchia; f__Pyuridae; g__Microcosmus; s__claudicans
1273256069	k__Animalia; p__Chordata; c__Ascidiacea; o__Stolidobranchia; f__Styelidae; g__Botryllus; s__schlosseri
1273256071	k__Animalia; p__Chordata; c__Ascidiacea; o__Stolidobranchia; f__Styelidae; g__Botryllus; s__schlosseri
1780533723	k__Animalia; p__Chordata; c__Ascidiacea; o__Stolidobranchia; f__Styelidae; g__Botryllus; s__schlosseri
1780533727	k__Animalia; p__Chordata; c__Ascidiacea; o__Stolidobranchia; f__Styelidae; g__Botryllus; s__schlosseri
1780533729	k__Animalia; p__Chordata; c__Ascidiacea; o__Stolidobranchia; f__Styelidae; g__Botryllus; s__schlosseri
1896472523	k__Animalia; p__Chordata; c__Ascidiacea; o__Stolidobranchia; f__Styelidae; g__Botryllus; s__schlosseri
1979976744	k__Animalia; p__Chordata; c__Ascidiacea; o__Stolidobranchia; f__Styelidae; g__Botryllus; s__schlosseri
220063649	k__Animalia; p__Chordata; c__Ascidiacea; o__Stolidobranchia; f__Styelidae; g__Botryllus; s__schlosseri
220063651	k__Animalia; p__Chordata; c__Ascidiacea; o__Stolidobranchia; f__Styelidae; g__Botryllus; s__schlosseri
340543988	k__Animalia; p__Chordata; c__Ascidiacea; o__Stolidobranchia; f__Styelidae; g__Botryllus; s__schlosseri
340543992	k__Animalia; p__Chordata; c__Ascidiacea; o__Stolidobranchia; f__Styelidae; g__Botryllus; s__schlosseri
340543996	k__Animalia; p__Chordata; c__Ascidiacea; o__Stolidobranchia; f__Styelidae; g__Botryllus; s__schlosseri
340544020	k__Animalia; p__Chordata; c__Ascidiacea; o__Stolidobranchia; f__Styelidae; g__Botryllus; s__schlosseri
340544048	k__Animalia; p__Chordata; c__Ascidiacea; o__Stolidobranchia; f__Styelidae; g__Botryllus; s__schlosseri
340544100	k__Animalia; p__Chordata; c__Ascidiacea; o__Stolidobranchia; f__Styelidae; g__Botryllus; s__schlosseri
340544102	k__Animalia; p__Chordata; c__Ascidiacea; o__Stolidobranchia; f__Styelidae; g__Botryllus; s__schlosseri
340544104	k__Animalia; p__Chordata; c__Ascidiacea; o__Stolidobranchia; f__Styelidae; g__Botryllus; s__schlosseri
568404047	k__Animalia; p__Chordata; c__Ascidiacea; o__Stolidobranchia; f__Styelidae; g__Botryllus; s__schlosseri
568404061	k__Animalia; p__Chordata; c__Ascidiacea; o__Stolidobranchia; f__Styelidae; g__Botryllus; s__schlosseri
ADMAB020-23.COI-5P	k__Animalia; p__Chordata; c__Ascidiacea; o__Stolidobranchia; f__Styelidae; g__Botryllus; s__schlosseri
ADMAB021-23.COI-5P	k__Animalia; p__Chordata; c__Ascidiacea; o__Stolidobranchia; f__Styelidae; g__Botryllus; s__schlosseri
ADMAB022-23.COI-5P	k__Animalia; p__Chordata; c__Ascidiacea; o__Stolidobranchia; f__Styelidae; g__Botryllus; s__schlosseri
