speciesName,status,SpecCode,validName,class,order,family,genus,commonName,commonSpecies,C_Code,country,database,databaseVersion
Sphyrna zigaena,synonym,917,Sphyrna zygaena,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,Smooth hammerhead,TRUE,826,UK,fishbase,24.07
Spyrna zygaena,synonym,917,Sphyrna zygaena,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,Smooth hammerhead,TRUE,826,UK,fishbase,24.07
Squalus malleus,synonym,917,Sphyrna zygaena,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,Smooth hammerhead,TRUE,826,UK,fishbase,24.07
Squalus zygaena,synonym,917,Sphyrna zygaena,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,Smooth hammerhead,TRUE,826,UK,fishbase,24.07
Zygaena malleus,synonym,917,Sphyrna zygaena,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,Smooth hammerhead,TRUE,826,UK,fishbase,24.07
Zygaena subarcuata,synonym,917,Sphyrna zygaena,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,Smooth hammerhead,TRUE,826,UK,fishbase,24.07
Zygaena vulgaris,synonym,917,Sphyrna zygaena,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,Smooth hammerhead,TRUE,826,UK,fishbase,24.07
Galeorhinus galeus,accepted name,4642,Galeorhinus galeus,Elasmobranchii,Carcharhiniformes,Triakidae,Galeorhinus,Tope shark,TRUE,056,Belgium,fishbase,24.07
Carcharhinus cyrano,synonym,4642,Galeorhinus galeus,Elasmobranchii,Carcharhiniformes,Triakidae,Galeorhinus,Tope shark,TRUE,056,Belgium,fishbase,24.07
Eugaleus galeus,synonym,4642,Galeorhinus galeus,Elasmobranchii,Carcharhiniformes,Triakidae,Galeorhinus,Tope shark,TRUE,056,Belgium,fishbase,24.07
Galeorhinus australis,synonym,4642,Galeorhinus galeus,Elasmobranchii,Carcharhiniformes,Triakidae,Galeorhinus,Tope shark,TRUE,056,Belgium,fishbase,24.07
Galeorhinus chilensis,synonym,4642,Galeorhinus galeus,Elasmobranchii,Carcharhiniformes,Triakidae,Galeorhinus,Tope shark,TRUE,056,Belgium,fishbase,24.07
Galeorhinus galeo,synonym,4642,Galeorhinus galeus,Elasmobranchii,Carcharhiniformes,Triakidae,Galeorhinus,Tope shark,TRUE,056,Belgium,fishbase,24.07
Galeorhinus vitaminicus,synonym,4642,Galeorhinus galeus,Elasmobranchii,Carcharhiniformes,Triakidae,Galeorhinus,Tope shark,TRUE,056,Belgium,fishbase,24.07
Galeorhinus zyopterus,synonym,4642,Galeorhinus galeus,Elasmobranchii,Carcharhiniformes,Triakidae,Galeorhinus,Tope shark,TRUE,056,Belgium,fishbase,24.07
Galeus australis,synonym,4642,Galeorhinus galeus,Elasmobranchii,Carcharhiniformes,Triakidae,Galeorhinus,Tope shark,TRUE,056,Belgium,fishbase,24.07
Galeus canis,synonym,4642,Galeorhinus galeus,Elasmobranchii,Carcharhiniformes,Triakidae,Galeorhinus,Tope shark,TRUE,056,Belgium,fishbase,24.07
Galeus chilensis,synonym,4642,Galeorhinus galeus,Elasmobranchii,Carcharhiniformes,Triakidae,Galeorhinus,Tope shark,TRUE,056,Belgium,fishbase,24.07
Galeus communis,synonym,4642,Galeorhinus galeus,Elasmobranchii,Carcharhiniformes,Triakidae,Galeorhinus,Tope shark,TRUE,056,Belgium,fishbase,24.07
Galeus linnei,synonym,4642,Galeorhinus galeus,Elasmobranchii,Carcharhiniformes,Triakidae,Galeorhinus,Tope shark,TRUE,056,Belgium,fishbase,24.07
Galeus molinae,synonym,4642,Galeorhinus galeus,Elasmobranchii,Carcharhiniformes,Triakidae,Galeorhinus,Tope shark,TRUE,056,Belgium,fishbase,24.07
Galeus nilssoni,synonym,4642,Galeorhinus galeus,Elasmobranchii,Carcharhiniformes,Triakidae,Galeorhinus,Tope shark,TRUE,056,Belgium,fishbase,24.07
Galeus vulgaris,synonym,4642,Galeorhinus galeus,Elasmobranchii,Carcharhiniformes,Triakidae,Galeorhinus,Tope shark,TRUE,056,Belgium,fishbase,24.07
Galeus zyopterus,synonym,4642,Galeorhinus galeus,Elasmobranchii,Carcharhiniformes,Triakidae,Galeorhinus,Tope shark,TRUE,056,Belgium,fishbase,24.07
Notogaleus australis,synonym,4642,Galeorhinus galeus,Elasmobranchii,Carcharhiniformes,Triakidae,Galeorhinus,Tope shark,TRUE,056,Belgium,fishbase,24.07
Notogaleus rhinophanes,synonym,4642,Galeorhinus galeus,Elasmobranchii,Carcharhiniformes,Triakidae,Galeorhinus,Tope shark,TRUE,056,Belgium,fishbase,24.07
Squalus galeus,synonym,4642,Galeorhinus galeus,Elasmobranchii,Carcharhiniformes,Triakidae,Galeorhinus,Tope shark,TRUE,056,Belgium,fishbase,24.07
Squalus rhinophanes,synonym,4642,Galeorhinus galeus,Elasmobranchii,Carcharhiniformes,Triakidae,Galeorhinus,Tope shark,TRUE,056,Belgium,fishbase,24.07
Mustelus asterias,accepted name,5938,Mustelus asterias,Elasmobranchii,Carcharhiniformes,Triakidae,Mustelus,Starry smooth-hound,TRUE,056,Belgium,fishbase,24.07
