speciesName,status,SpecCode,validName,class,order,family,genus,commonName,commonSpecies,C_Code,country,database,databaseVersion
Squalus rostratus,synonym,90,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,Basking shark,TRUE,056,Belgium,fishbase,24.07
Tetroras maccoyi,synonym,90,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,Basking shark,TRUE,056,Belgium,fishbase,24.07
Lamna nasus,accepted name,88,Lamna nasus,Elasmobranchii,Lamniformes,Lamnidae,Lamna,Porbeagle,TRUE,056,Belgium,fishbase,24.07
Lamna cornubica,synonym,88,Lamna nasus,Elasmobranchii,Lamniformes,Lamnidae,Lamna,Porbeagle,TRUE,056,Belgium,fishbase,24.07
Lamna pennanti,synonym,88,Lamna nasus,Elasmobranchii,Lamniformes,Lamnidae,Lamna,Porbeagle,TRUE,056,Belgium,fishbase,24.07
Lamna philippii,synonym,88,Lamna nasus,Elasmobranchii,Lamniformes,Lamnidae,Lamna,Porbeagle,TRUE,056,Belgium,fishbase,24.07
Lamna punctata,synonym,88,Lamna nasus,Elasmobranchii,Lamniformes,Lamnidae,Lamna,Porbeagle,TRUE,056,Belgium,fishbase,24.07
Lamna whitleyi,synonym,88,Lamna nasus,Elasmobranchii,Lamniformes,Lamnidae,Lamna,Porbeagle,TRUE,056,Belgium,fishbase,24.07
Lanna nasus,synonym,88,Lamna nasus,Elasmobranchii,Lamniformes,Lamnidae,Lamna,Porbeagle,TRUE,056,Belgium,fishbase,24.07
Oxyrhina daekayi,synonym,88,Lamna nasus,Elasmobranchii,Lamniformes,Lamnidae,Lamna,Porbeagle,TRUE,056,Belgium,fishbase,24.07
Selanonius walkeri,synonym,88,Lamna nasus,Elasmobranchii,Lamniformes,Lamnidae,Lamna,Porbeagle,TRUE,056,Belgium,fishbase,24.07
Squalus cornubicus,synonym,88,Lamna nasus,Elasmobranchii,Lamniformes,Lamnidae,Lamna,Porbeagle,TRUE,056,Belgium,fishbase,24.07
Squalus cornubiensis,synonym,88,Lamna nasus,Elasmobranchii,Lamniformes,Lamnidae,Lamna,Porbeagle,TRUE,056,Belgium,fishbase,24.07
