source,dbid,taxon,action,note,barcode
GENBANK,460418982,Dicentrarchus labrax,REMOVE,Blasts as Diplodus sargus,coi.lerayxt
GENBANK,460418984,Dicentrarchus labrax,REMOVE,Blasts as Diplodus sargus,coi.lerayxt
GENBANK,460418986,Dicentrarchus labrax,REMOVE,Blasts as Diplodus sargus,coi.lerayxt
GENBANK,460418988,Dicentrarchus labrax,REMOVE,Blasts as Diplodus sargus,coi.lerayxt
GENBANK,460418990,Dicentrarchus labrax,REMOVE,Blasts as Diplodus sargus,coi.lerayxt
GENBANK,460418992,Dicentrarchus labrax,REMOVE,Blasts as Diplodus sargus,coi.lerayxt
GENBANK,4929507,Pollachius virens,REMOVE,Blasts as Pollachius pollachius,12s.miya
GENBANK,4929512,Zeus faber,REMOVE,Wacky sequence very different from others,12s.miya
GENBANK,5257523,Salvelinus alpinus,REMOVE,Blasts as Salvelinus curilus & Salvelinus malma,12s.miya
GENBANK,54423817,Squalus acanthias,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,55956570,Merlangius merlangus,REMOVE,Bad quality sequence?,12s.miya
GENBANK,56698760,Pollachius virens,REMOVE,Blasts as Pollachius pollachius,12s.miya
GENBANK,577027873,Thunnus thynnus,REMOVE,Blasts as Thunnus orientalis & Thunnus maccoyii,12s.miya
GENBANK,5835904,Salvelinus alpinus,REMOVE,Blasts as Salvelinus curilus & Salvelinus malma,12s.miya
GENBANK,584296341,Myxine glutinosa,REMOVE,Blasts as Myxine limosa,coi.lerayxt
GENBANK,594019068,Spondyliosoma cantharus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,606240491,Spondyliosoma cantharus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,607345615,Dipturus batis,REMOVE,Blasts as Dipturus intermedius,coi.lerayxt
GENBANK,610494456,Pungitius laevis,REMOVE,Blasts as Pungitius pungitius,coi.lerayxt
GENBANK,610494717,Pungitius laevis,REMOVE,Blasts as Pungitius pungitius,coi.lerayxt
GENBANK,651209096,Pomatoschistus microps,REMOVE,Blasts as Pomatoschistus minutus,coi.lerayxt
GENBANK,651209098,Pomatoschistus microps,REMOVE,Blasts as Pomatoschistus minutus,coi.lerayxt
GENBANK,661414490,Mugil cephalus,REMOVE,Blasts as Mugil rubrioculus & Mugil liza,12s.miya
GENBANK,66864728,Melanogrammus aeglefinus,REMOVE,Blasts as Gadus morhua & Merlangius merlangus,12s.miya
GENBANK,670609140,Mugil cephalus,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,672918342,Belone belone,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,672918459,Pegusa lascaris,REMOVE,Bad quality sequence? Blasts only against itself,coi.lerayxt
GENBANK,672918476,Pomatoschistus microps,REMOVE,Blasts as Pomatoschistus minutus,coi.lerayxt
GENBANK,672918478,Pomatoschistus microps,REMOVE,Blasts as Pomatoschistus minutus,coi.lerayxt
GENBANK,672918480,Pomatoschistus microps,REMOVE,Blasts as Pomatoschistus minutus,coi.lerayxt
GENBANK,674652911,Raja clavata,REMOVE,Wacky sequence very different from others,coi.lerayxt
GENBANK,674653026,Syngnathus acus,REMOVE,Blasts as Syngnathus typhle,coi.lerayxt
GENBANK,674781199,Echinorhinus brucus,REMOVE,Wacky sequence very different from others,coi.lerayxt
